host,ip,port,protocol,title,domain,country,city,link,as_organization
47.242.232.14:2086,47.242.232.14,2086,http,,,CN,Hong Kong,http://47.242.232.14:2086,"Alibaba US Technology Co., Ltd."
8.218.53.110:2086,8.218.53.110,2086,http,,,CN,Hong Kong,http://8.218.53.110:2086,"Alibaba US Technology Co., Ltd."
8.219.194.170:2086,8.219.194.170,2086,http,,,SG,Singapore,http://8.219.194.170:2086,"Alibaba US Technology Co., Ltd."
8.219.161.129:2095,8.219.161.129,2095,http,,,SG,Singapore,http://8.219.161.129:2095,"Alibaba US Technology Co., Ltd."
8.219.107.135:2086,8.219.107.135,2086,http,,,SG,Singapore,http://8.219.107.135:2086,"Alibaba US Technology Co., Ltd."
8.219.210.57:2096,8.219.210.57,2096,http,,,SG,Singapore,http://8.219.210.57:2096,"Alibaba US Technology Co., Ltd."
8.219.210.64:2096,8.219.210.64,2096,http,,,SG,Singapore,http://8.219.210.64:2096,"Alibaba US Technology Co., Ltd."
47.243.169.90:2095,47.243.169.90,2095,http,,,US,San Mateo,http://47.243.169.90:2095,"Alibaba US Technology Co., Ltd."
8.218.146.204:2086,8.218.146.204,2086,http,,,CN,Hong Kong,http://8.218.146.204:2086,"Alibaba US Technology Co., Ltd."
8.218.146.204:2086,8.218.146.204,2086,http,,,CN,Hong Kong,http://8.218.146.204:2086,"Alibaba US Technology Co., Ltd."
8.219.106.156:2096,8.219.106.156,2096,http,,,SG,Singapore,http://8.219.106.156:2096,"Alibaba US Technology Co., Ltd."
8.218.3.198:2095,8.218.3.198,2095,http,,,CN,Hong Kong,http://8.218.3.198:2095,"Alibaba US Technology Co., Ltd."
47.76.26.26:2096,47.76.26.26,2096,http,,,CN,Hong Kong,http://47.76.26.26:2096,"Alibaba US Technology Co., Ltd."
8.219.111.175:2096,8.219.111.175,2096,http,,,SG,Singapore,http://8.219.111.175:2096,"Alibaba US Technology Co., Ltd."
47.243.67.28:2095,47.243.67.28,2095,http,,,GB,Manchester,http://47.243.67.28:2095,"Alibaba US Technology Co., Ltd."
47.237.83.20:2095,47.237.83.20,2095,http,,,US,San Mateo,http://47.237.83.20:2095,"Alibaba US Technology Co., Ltd."
47.236.6.170:2086,47.236.6.170,2086,http,,,SG,Singapore,http://47.236.6.170:2086,"Alibaba US Technology Co., Ltd."
8.219.237.250:2087,8.219.237.250,2087,http,,,SG,Singapore,http://8.219.237.250:2087,"Alibaba US Technology Co., Ltd."
8.219.97.50:2086,8.219.97.50,2086,http,,,SG,Singapore,http://8.219.97.50:2086,"Alibaba US Technology Co., Ltd."
47.236.6.170:2086,47.236.6.170,2086,http,,,SG,Singapore,http://47.236.6.170:2086,"Alibaba US Technology Co., Ltd."
8.217.207.60:2087,8.217.207.60,2087,http,,,CN,Hong Kong,http://8.217.207.60:2087,"Alibaba US Technology Co., Ltd."
8.210.101.157:2096,8.210.101.157,2096,http,,,CN,Hong Kong,http://8.210.101.157:2096,"Alibaba US Technology Co., Ltd."
8.217.127.73:2087,8.217.127.73,2087,http,,,CN,Hong Kong,http://8.217.127.73:2087,"Alibaba US Technology Co., Ltd."
47.237.92.26:2096,47.237.92.26,2096,http,,,US,San Mateo,http://47.237.92.26:2096,"Alibaba US Technology Co., Ltd."
47.236.166.131:2086,47.236.166.131,2086,http,,,SG,Singapore,http://47.236.166.131:2086,"Alibaba US Technology Co., Ltd."
8.210.203.7:2086,8.210.203.7,2086,http,,,CN,Hong Kong,http://8.210.203.7:2086,"Alibaba US Technology Co., Ltd."
8.219.67.133:2096,8.219.67.133,2096,http,,,SG,Singapore,http://8.219.67.133:2096,"Alibaba US Technology Co., Ltd."
47.76.159.146:2096,47.76.159.146,2096,http,,,CN,Hong Kong,http://47.76.159.146:2096,"Alibaba US Technology Co., Ltd."
8.217.164.10:2095,8.217.164.10,2095,http,,,CN,Hong Kong,http://8.217.164.10:2095,"Alibaba US Technology Co., Ltd."
https://47.243.198.198:2087,47.243.198.198,2087,https,,,GB,Manchester,https://47.243.198.198:2087,"Alibaba US Technology Co., Ltd."
https://8.218.18.235:2087,8.218.18.235,2087,https,,,CN,Hong Kong,https://8.218.18.235:2087,"Alibaba US Technology Co., Ltd."
https://47.243.198.198:2087,47.243.198.198,2087,https,403 Forbidden,,GB,Manchester,https://47.243.198.198:2087,"Alibaba US Technology Co., Ltd."
8.217.221.165:2095,8.217.221.165,2095,http,,,CN,Hong Kong,http://8.217.221.165:2095,"Alibaba US Technology Co., Ltd."
47.237.100.206:2095,47.237.100.206,2095,http,,,CN,Hong Kong,http://47.237.100.206:2095,"Alibaba US Technology Co., Ltd."
47.243.70.186:2096,47.243.70.186,2096,http,,,GB,Manchester,http://47.243.70.186:2096,"Alibaba US Technology Co., Ltd."
https://8.219.248.47:2087,8.219.248.47,2087,https,403 Forbidden,,SG,Singapore,https://8.219.248.47:2087,"Alibaba US Technology Co., Ltd."
8.222.193.65:2087,8.222.193.65,2087,http,,,SG,Singapore,http://8.222.193.65:2087,"Alibaba US Technology Co., Ltd."
https://8.219.248.47:2087,8.219.248.47,2087,https,,,SG,Singapore,https://8.219.248.47:2087,"Alibaba US Technology Co., Ltd."
8.219.153.237:2086,8.219.153.237,2086,http,,,SG,Singapore,http://8.219.153.237:2086,"Alibaba US Technology Co., Ltd."
8.218.1.163:2086,8.218.1.163,2086,http,,,CN,Hong Kong,http://8.218.1.163:2086,"Alibaba US Technology Co., Ltd."
8.210.119.11:2087,8.210.119.11,2087,http,,,CN,Hong Kong,http://8.210.119.11:2087,"Alibaba US Technology Co., Ltd."
8.219.208.104:2086,8.219.208.104,2086,http,,,SG,Singapore,http://8.219.208.104:2086,"Alibaba US Technology Co., Ltd."
47.243.60.150:2086,47.243.60.150,2086,http,,,US,San Mateo,http://47.243.60.150:2086,"Alibaba US Technology Co., Ltd."
8.218.8.142:2086,8.218.8.142,2086,http,,,CN,Hong Kong,http://8.218.8.142:2086,"Alibaba US Technology Co., Ltd."
8.219.83.71:2095,8.219.83.71,2095,http,,,SG,Singapore,http://8.219.83.71:2095,"Alibaba US Technology Co., Ltd."
47.243.203.119:2096,47.243.203.119,2096,http,,,GB,Manchester,http://47.243.203.119:2096,"Alibaba US Technology Co., Ltd."
8.219.83.71:2095,8.219.83.71,2095,http,,,SG,Singapore,http://8.219.83.71:2095,"Alibaba US Technology Co., Ltd."
47.236.10.182:2096,47.236.10.182,2096,http,,,SG,Singapore,http://47.236.10.182:2096,"Alibaba US Technology Co., Ltd."
47.237.14.220:2095,47.237.14.220,2095,http,,,US,San Mateo,http://47.237.14.220:2095,"Alibaba US Technology Co., Ltd."
47.237.14.220:2095,47.237.14.220,2095,http,,,US,San Mateo,http://47.237.14.220:2095,"Alibaba US Technology Co., Ltd."
8.218.81.14:2087,8.218.81.14,2087,http,,,CN,Hong Kong,http://8.218.81.14:2087,"Alibaba US Technology Co., Ltd."
8.218.92.195:2086,8.218.92.195,2086,http,,,CN,Hong Kong,http://8.218.92.195:2086,"Alibaba US Technology Co., Ltd."
8.218.98.75:2086,8.218.98.75,2086,http,,,CN,Hong Kong,http://8.218.98.75:2086,"Alibaba US Technology Co., Ltd."
8.222.165.117:2086,8.222.165.117,2086,http,,,SG,Singapore,http://8.222.165.117:2086,"Alibaba US Technology Co., Ltd."
47.242.7.162:2086,47.242.7.162,2086,http,,,CN,Hong Kong,http://47.242.7.162:2086,"Alibaba US Technology Co., Ltd."
8.219.174.142:2096,8.219.174.142,2096,http,,,SG,Singapore,http://8.219.174.142:2096,"Alibaba US Technology Co., Ltd."
47.242.79.71:2086,47.242.79.71,2086,http,,,CN,Hong Kong,http://47.242.79.71:2086,"Alibaba US Technology Co., Ltd."
8.219.110.81:2095,8.219.110.81,2095,http,,,SG,Singapore,http://8.219.110.81:2095,"Alibaba US Technology Co., Ltd."
47.243.203.119:2086,47.243.203.119,2086,http,,,GB,Manchester,http://47.243.203.119:2086,"Alibaba US Technology Co., Ltd."
8.219.110.81:2095,8.219.110.81,2095,http,,,SG,Singapore,http://8.219.110.81:2095,"Alibaba US Technology Co., Ltd."
8.219.99.169:2096,8.219.99.169,2096,http,,,SG,Singapore,http://8.219.99.169:2096,"Alibaba US Technology Co., Ltd."
8.210.100.23:2086,8.210.100.23,2086,http,,,CN,Hong Kong,http://8.210.100.23:2086,"Alibaba US Technology Co., Ltd."
8.219.110.248:2095,8.219.110.248,2095,http,,,SG,Singapore,http://8.219.110.248:2095,"Alibaba US Technology Co., Ltd."
8.222.181.117:2086,8.222.181.117,2086,http,,,SG,Singapore,http://8.222.181.117:2086,"Alibaba US Technology Co., Ltd."
8.222.181.117:2086,8.222.181.117,2086,http,,,SG,Singapore,http://8.222.181.117:2086,"Alibaba US Technology Co., Ltd."
47.236.169.15:2086,47.236.169.15,2086,http,,,SG,Singapore,http://47.236.169.15:2086,"Alibaba US Technology Co., Ltd."
47.236.169.164:2086,47.236.169.164,2086,http,,,SG,Singapore,http://47.236.169.164:2086,"Alibaba US Technology Co., Ltd."
47.236.169.141:2086,47.236.169.141,2086,http,,,SG,Singapore,http://47.236.169.141:2086,"Alibaba US Technology Co., Ltd."
47.242.54.157:2086,47.242.54.157,2086,http,,,CN,Hong Kong,http://47.242.54.157:2086,"Alibaba US Technology Co., Ltd."
https://8.219.208.104:2087,8.219.208.104,2087,https,,,SG,Singapore,https://8.219.208.104:2087,"Alibaba US Technology Co., Ltd."
47.236.169.164:2086,47.236.169.164,2086,http,,,SG,Singapore,http://47.236.169.164:2086,"Alibaba US Technology Co., Ltd."
47.236.169.141:2086,47.236.169.141,2086,http,,,SG,Singapore,http://47.236.169.141:2086,"Alibaba US Technology Co., Ltd."
8.219.113.232:2096,8.219.113.232,2096,http,,,SG,Singapore,http://8.219.113.232:2096,"Alibaba US Technology Co., Ltd."
47.237.95.146:2095,47.237.95.146,2095,http,,,CN,Hong Kong,http://47.237.95.146:2095,"Alibaba US Technology Co., Ltd."
47.242.42.153:2087,47.242.42.153,2087,http,,,CN,Hong Kong,http://47.242.42.153:2087,"Alibaba US Technology Co., Ltd."
47.243.67.28:2086,47.243.67.28,2086,http,,,GB,Manchester,http://47.243.67.28:2086,"Alibaba US Technology Co., Ltd."
8.217.232.246:2095,8.217.232.246,2095,http,,,CN,Hong Kong,http://8.217.232.246:2095,"Alibaba US Technology Co., Ltd."
8.217.232.246:2095,8.217.232.246,2095,http,,,CN,Hong Kong,http://8.217.232.246:2095,"Alibaba US Technology Co., Ltd."
47.243.186.171:2086,47.243.186.171,2086,http,,,US,San Mateo,http://47.243.186.171:2086,"Alibaba US Technology Co., Ltd."
47.237.92.26:2087,47.237.92.26,2087,http,,,US,San Mateo,http://47.237.92.26:2087,"Alibaba US Technology Co., Ltd."
47.236.102.102:2086,47.236.102.102,2086,http,,,SG,Singapore,http://47.236.102.102:2086,"Alibaba US Technology Co., Ltd."
47.236.10.182:2087,47.236.10.182,2087,http,,,SG,Singapore,http://47.236.10.182:2087,"Alibaba US Technology Co., Ltd."
8.222.183.242:2095,8.222.183.242,2095,http,,,SG,Singapore,http://8.222.183.242:2095,"Alibaba US Technology Co., Ltd."
47.236.93.176:2086,47.236.93.176,2086,http,,,SG,Singapore,http://47.236.93.176:2086,"Alibaba US Technology Co., Ltd."
8.219.147.58:2087,8.219.147.58,2087,http,,,SG,Singapore,http://8.219.147.58:2087,"Alibaba US Technology Co., Ltd."
8.210.85.222:2087,8.210.85.222,2087,http,,,CN,Hong Kong,http://8.210.85.222:2087,"Alibaba US Technology Co., Ltd."
8.222.167.147:2087,8.222.167.147,2087,http,,,SG,Singapore,http://8.222.167.147:2087,"Alibaba US Technology Co., Ltd."
8.218.52.115:2095,8.218.52.115,2095,http,,,CN,Hong Kong,http://8.218.52.115:2095,"Alibaba US Technology Co., Ltd."
8.219.177.205:2087,8.219.177.205,2087,http,,,SG,Singapore,http://8.219.177.205:2087,"Alibaba US Technology Co., Ltd."
8.218.8.142:2095,8.218.8.142,2095,http,,,CN,Hong Kong,http://8.218.8.142:2095,"Alibaba US Technology Co., Ltd."
47.243.139.243:2086,47.243.139.243,2086,http,,,GB,Manchester,http://47.243.139.243:2086,"Alibaba US Technology Co., Ltd."
8.219.191.40:2086,8.219.191.40,2086,http,,,SG,Singapore,http://8.219.191.40:2086,"Alibaba US Technology Co., Ltd."
47.243.139.85:2086,47.243.139.85,2086,http,,,GB,Manchester,http://47.243.139.85:2086,"Alibaba US Technology Co., Ltd."
8.210.48.107:2096,8.210.48.107,2096,http,,,CN,Hong Kong,http://8.210.48.107:2096,"Alibaba US Technology Co., Ltd."
47.243.42.155:2096,47.243.42.155,2096,http,,,US,San Mateo,http://47.243.42.155:2096,"Alibaba US Technology Co., Ltd."
8.222.237.131:2087,8.222.237.131,2087,http,,,SG,Singapore,http://8.222.237.131:2087,"Alibaba US Technology Co., Ltd."
8.217.91.121:2087,8.217.91.121,2087,http,,,CN,Hong Kong,http://8.217.91.121:2087,"Alibaba US Technology Co., Ltd."
8.219.198.34:2087,8.219.198.34,2087,http,,,SG,Singapore,http://8.219.198.34:2087,"Alibaba US Technology Co., Ltd."
https://47.236.164.65:2096,47.236.164.65,2096,https,,,SG,Singapore,https://47.236.164.65:2096,"Alibaba US Technology Co., Ltd."
47.236.164.215:2096,47.236.164.215,2096,http,,,SG,Singapore,http://47.236.164.215:2096,"Alibaba US Technology Co., Ltd."
8.218.222.36:2096,8.218.222.36,2096,http,,,CN,Hong Kong,http://8.218.222.36:2096,"Alibaba US Technology Co., Ltd."
8.217.221.165:2096,8.217.221.165,2096,http,,,CN,Hong Kong,http://8.217.221.165:2096,"Alibaba US Technology Co., Ltd."
47.243.67.28:2087,47.243.67.28,2087,http,,,GB,Manchester,http://47.243.67.28:2087,"Alibaba US Technology Co., Ltd."
47.236.80.110:2086,47.236.80.110,2086,http,,,SG,Singapore,http://47.236.80.110:2086,"Alibaba US Technology Co., Ltd."
47.236.80.110:2086,47.236.80.110,2086,http,,,SG,Singapore,http://47.236.80.110:2086,"Alibaba US Technology Co., Ltd."
8.218.22.210:2086,8.218.22.210,2086,http,,,CN,Hong Kong,http://8.218.22.210:2086,"Alibaba US Technology Co., Ltd."
8.219.170.232:2096,8.219.170.232,2096,http,,,SG,Singapore,http://8.219.170.232:2096,"Alibaba US Technology Co., Ltd."
8.222.193.65:2095,8.222.193.65,2095,http,,,SG,Singapore,http://8.222.193.65:2095,"Alibaba US Technology Co., Ltd."
47.245.126.151:2086,47.245.126.151,2086,http,,,SG,Singapore,http://47.245.126.151:2086,"Alibaba US Technology Co., Ltd."
47.245.126.151:2086,47.245.126.151,2086,http,,,SG,Singapore,http://47.245.126.151:2086,"Alibaba US Technology Co., Ltd."
8.210.156.6:2087,8.210.156.6,2087,http,,,CN,Hong Kong,http://8.210.156.6:2087,"Alibaba US Technology Co., Ltd."
47.245.84.124:2086,47.245.84.124,2086,http,,,SG,Singapore,http://47.245.84.124:2086,"Alibaba US Technology Co., Ltd."
47.238.40.58:2086,47.238.40.58,2086,http,,,CN,Hong Kong,http://47.238.40.58:2086,"Alibaba US Technology Co., Ltd."
47.238.40.58:2086,47.238.40.58,2086,http,,,CN,Hong Kong,http://47.238.40.58:2086,"Alibaba US Technology Co., Ltd."
8.222.244.192:2096,8.222.244.192,2096,http,,,SG,Singapore,http://8.222.244.192:2096,"Alibaba US Technology Co., Ltd."
47.242.119.104:2086,47.242.119.104,2086,http,,,CN,Hong Kong,http://47.242.119.104:2086,"Alibaba US Technology Co., Ltd."
47.236.253.41:2096,47.236.253.41,2096,http,,,SG,Singapore,http://47.236.253.41:2096,"Alibaba US Technology Co., Ltd."
47.243.91.58:2095,47.243.91.58,2095,http,,,US,San Mateo,http://47.243.91.58:2095,"Alibaba US Technology Co., Ltd."
8.222.249.190:2087,8.222.249.190,2087,http,,,SG,Singapore,http://8.222.249.190:2087,"Alibaba US Technology Co., Ltd."
47.238.6.58:2086,47.238.6.58,2086,http,,,CN,Hong Kong,http://47.238.6.58:2086,"Alibaba US Technology Co., Ltd."
47.242.107.109:2086,47.242.107.109,2086,http,,,CN,Hong Kong,http://47.242.107.109:2086,"Alibaba US Technology Co., Ltd."
47.243.173.187:2087,47.243.173.187,2087,http,,,GB,Manchester,http://47.243.173.187:2087,"Alibaba US Technology Co., Ltd."
https://47.243.120.239:2096,47.243.120.239,2096,https,,,US,San Mateo,https://47.243.120.239:2096,"Alibaba US Technology Co., Ltd."
https://47.243.120.239:2096,47.243.120.239,2096,https,403 Forbidden,,US,San Mateo,https://47.243.120.239:2096,"Alibaba US Technology Co., Ltd."
8.210.100.23:2095,8.210.100.23,2095,http,,,CN,Hong Kong,http://8.210.100.23:2095,"Alibaba US Technology Co., Ltd."
8.219.229.190:2095,8.219.229.190,2095,http,,,SG,Singapore,http://8.219.229.190:2095,"Alibaba US Technology Co., Ltd."
8.219.198.34:2095,8.219.198.34,2095,http,,,SG,Singapore,http://8.219.198.34:2095,"Alibaba US Technology Co., Ltd."
8.217.250.5:2086,8.217.250.5,2086,http,,,CN,Hong Kong,http://8.217.250.5:2086,"Alibaba US Technology Co., Ltd."
8.218.155.238:2086,8.218.155.238,2086,http,,,CN,Hong Kong,http://8.218.155.238:2086,"Alibaba US Technology Co., Ltd."
47.242.54.157:2087,47.242.54.157,2087,http,,,CN,Hong Kong,http://47.242.54.157:2087,"Alibaba US Technology Co., Ltd."
8.218.18.132:2087,8.218.18.132,2087,http,,,CN,Hong Kong,http://8.218.18.132:2087,"Alibaba US Technology Co., Ltd."
47.76.222.57:2096,47.76.222.57,2096,http,,,CN,Hong Kong,http://47.76.222.57:2096,"Alibaba US Technology Co., Ltd."
47.242.36.78:2086,47.242.36.78,2086,http,,,CN,Hong Kong,http://47.242.36.78:2086,"Alibaba US Technology Co., Ltd."
8.222.181.117:2087,8.222.181.117,2087,http,,,SG,Singapore,http://8.222.181.117:2087,"Alibaba US Technology Co., Ltd."
47.243.243.14:2086,47.243.243.14,2086,http,,,US,San Mateo,http://47.243.243.14:2086,"Alibaba US Technology Co., Ltd."
8.219.161.129:2087,8.219.161.129,2087,http,,,SG,Singapore,http://8.219.161.129:2087,"Alibaba US Technology Co., Ltd."
8.222.146.222:2087,8.222.146.222,2087,http,,,SG,Singapore,http://8.222.146.222:2087,"Alibaba US Technology Co., Ltd."
8.210.85.222:2096,8.210.85.222,2096,http,,,CN,Hong Kong,http://8.210.85.222:2096,"Alibaba US Technology Co., Ltd."
47.242.234.127:2096,47.242.234.127,2096,http,,,CN,Hong Kong,http://47.242.234.127:2096,"Alibaba US Technology Co., Ltd."
https://8.219.208.104:2096,8.219.208.104,2096,https,,,SG,Singapore,https://8.219.208.104:2096,"Alibaba US Technology Co., Ltd."
8.219.174.142:2087,8.219.174.142,2087,http,,,SG,Singapore,http://8.219.174.142:2087,"Alibaba US Technology Co., Ltd."
8.222.179.231:2087,8.222.179.231,2087,http,,,SG,Singapore,http://8.222.179.231:2087,"Alibaba US Technology Co., Ltd."
47.76.49.246:2086,47.76.49.246,2086,http,,,CN,Hong Kong,http://47.76.49.246:2086,"Alibaba US Technology Co., Ltd."
8.222.165.117:2096,8.222.165.117,2096,http,,,SG,Singapore,http://8.222.165.117:2096,"Alibaba US Technology Co., Ltd."
47.238.6.58:2087,47.238.6.58,2087,http,,,CN,Hong Kong,http://47.238.6.58:2087,"Alibaba US Technology Co., Ltd."
https://8.222.145.43:2087,8.222.145.43,2087,https,,,SG,Singapore,https://8.222.145.43:2087,"Alibaba US Technology Co., Ltd."
47.242.63.91:2087,47.242.63.91,2087,http,,,CN,Hong Kong,http://47.242.63.91:2087,"Alibaba US Technology Co., Ltd."
8.219.124.227:2087,8.219.124.227,2087,http,,,SG,Singapore,http://8.219.124.227:2087,"Alibaba US Technology Co., Ltd."
47.237.121.38:2095,47.237.121.38,2095,http,,,CN,Hong Kong,http://47.237.121.38:2095,"Alibaba US Technology Co., Ltd."
8.210.107.246:2095,8.210.107.246,2095,http,,,CN,Hong Kong,http://8.210.107.246:2095,"Alibaba US Technology Co., Ltd."
8.219.198.34:2086,8.219.198.34,2086,http,,,SG,Singapore,http://8.219.198.34:2086,"Alibaba US Technology Co., Ltd."
https://8.222.222.64:2096,8.222.222.64,2096,https,,,SG,Singapore,https://8.222.222.64:2096,"Alibaba US Technology Co., Ltd."
8.210.164.75:2086,8.210.164.75,2086,http,,,CN,Hong Kong,http://8.210.164.75:2086,"Alibaba US Technology Co., Ltd."
8.222.244.192:2086,8.222.244.192,2086,http,,,SG,Singapore,http://8.222.244.192:2086,"Alibaba US Technology Co., Ltd."
8.219.67.133:2095,8.219.67.133,2095,http,,,SG,Singapore,http://8.219.67.133:2095,"Alibaba US Technology Co., Ltd."
47.76.225.255:2096,47.76.225.255,2096,http,,,CN,Hong Kong,http://47.76.225.255:2096,"Alibaba US Technology Co., Ltd."
47.237.82.15:2095,47.237.82.15,2095,http,,,US,San Mateo,http://47.237.82.15:2095,"Alibaba US Technology Co., Ltd."
47.237.84.173:2095,47.237.84.173,2095,http,,,US,San Mateo,http://47.237.84.173:2095,"Alibaba US Technology Co., Ltd."
47.237.82.15:2095,47.237.82.15,2095,http,,,US,San Mateo,http://47.237.82.15:2095,"Alibaba US Technology Co., Ltd."
8.219.199.220:2086,8.219.199.220,2086,http,,,SG,Singapore,http://8.219.199.220:2086,"Alibaba US Technology Co., Ltd."
47.242.59.216:2086,47.242.59.216,2086,http,,,CN,Hong Kong,http://47.242.59.216:2086,"Alibaba US Technology Co., Ltd."
8.222.160.176:2086,8.222.160.176,2086,http,,,SG,Singapore,http://8.222.160.176:2086,"Alibaba US Technology Co., Ltd."
8.219.198.139:2095,8.219.198.139,2095,http,,,SG,Singapore,http://8.219.198.139:2095,"Alibaba US Technology Co., Ltd."
8.219.189.143:2096,8.219.189.143,2096,http,,,SG,Singapore,http://8.219.189.143:2096,"Alibaba US Technology Co., Ltd."
8.219.1.92:2096,8.219.1.92,2096,http,,,SG,Singapore,http://8.219.1.92:2096,"Alibaba US Technology Co., Ltd."
8.219.107.135:2095,8.219.107.135,2095,http,,,SG,Singapore,http://8.219.107.135:2095,"Alibaba US Technology Co., Ltd."
47.236.75.152:2086,47.236.75.152,2086,http,,,SG,Singapore,http://47.236.75.152:2086,"Alibaba US Technology Co., Ltd."
8.219.210.171:2086,8.219.210.171,2086,http,,,SG,Singapore,http://8.219.210.171:2086,"Alibaba US Technology Co., Ltd."
8.210.245.224:2086,8.210.245.224,2086,http,,,CN,Hong Kong,http://8.210.245.224:2086,"Alibaba US Technology Co., Ltd."
8.210.245.224:2086,8.210.245.224,2086,http,,,CN,Hong Kong,http://8.210.245.224:2086,"Alibaba US Technology Co., Ltd."
8.222.214.231:2086,8.222.214.231,2086,http,,,SG,Singapore,http://8.222.214.231:2086,"Alibaba US Technology Co., Ltd."
8.222.214.231:2086,8.222.214.231,2086,http,,,SG,Singapore,http://8.222.214.231:2086,"Alibaba US Technology Co., Ltd."
8.222.179.231:2096,8.222.179.231,2096,http,,,SG,Singapore,http://8.222.179.231:2096,"Alibaba US Technology Co., Ltd."
8.222.222.64:2086,8.222.222.64,2086,http,,,SG,Singapore,http://8.222.222.64:2086,"Alibaba US Technology Co., Ltd."
8.219.191.40:2095,8.219.191.40,2095,http,,,SG,Singapore,http://8.219.191.40:2095,"Alibaba US Technology Co., Ltd."
8.222.167.147:2096,8.222.167.147,2096,http,,,SG,Singapore,http://8.222.167.147:2096,"Alibaba US Technology Co., Ltd."
https://8.211.1.12,8.211.1.12,443,https,,,DE,Frankfurt am Main,https://8.211.1.12,"Alibaba US Technology Co., Ltd."
https://8.211.1.12,8.211.1.12,443,https,,,DE,Frankfurt am Main,https://8.211.1.12,"Alibaba US Technology Co., Ltd."
8.219.122.55:2096,8.219.122.55,2096,http,,,SG,Singapore,http://8.219.122.55:2096,"Alibaba US Technology Co., Ltd."
47.76.192.24:2096,47.76.192.24,2096,http,,,CN,Hong Kong,http://47.76.192.24:2096,"Alibaba US Technology Co., Ltd."
8.219.209.14:2086,8.219.209.14,2086,http,,,SG,Singapore,http://8.219.209.14:2086,"Alibaba US Technology Co., Ltd."
8.219.161.129:2096,8.219.161.129,2096,http,,,SG,Singapore,http://8.219.161.129:2096,"Alibaba US Technology Co., Ltd."
8.219.117.198:2096,8.219.117.198,2096,http,,,SG,Singapore,http://8.219.117.198:2096,"Alibaba US Technology Co., Ltd."
47.236.5.223:2086,47.236.5.223,2086,http,,,SG,Singapore,http://47.236.5.223:2086,"Alibaba US Technology Co., Ltd."
8.219.132.64:2096,8.219.132.64,2096,http,,,SG,Singapore,http://8.219.132.64:2096,"Alibaba US Technology Co., Ltd."
47.242.7.162:2087,47.242.7.162,2087,http,,,CN,Hong Kong,http://47.242.7.162:2087,"Alibaba US Technology Co., Ltd."
8.219.200.145:2095,8.219.200.145,2095,http,,,SG,Singapore,http://8.219.200.145:2095,"Alibaba US Technology Co., Ltd."
8.219.170.232:2095,8.219.170.232,2095,http,,,SG,Singapore,http://8.219.170.232:2095,"Alibaba US Technology Co., Ltd."
